# Shelf ID, Type, Capacity, DistanceToEntrance, DistanceToExit
1,Ordinary,10.0,5,170
2,Ordinary,10.0,10,165
3,Ordinary,10.0,15,160
4,Ordinary,10.0,20,155
5,Ordinary,10.0,25,150
6,Ordinary,10.0,30,145
7,Ordinary,10.0,35,140
8,Ordinary,10.0,40,135
9,Ordinary,10.0,45,130
10,Ordinary,10.0,50,125
11,Ordinary,10.0,55,120
12,Ordinary,10.0,60,115
13,Ordinary,10.0,65,110
14,Ordinary,10.0,70,105
15,Ordinary,10.0,75,100
16,Ordinary,10.0,80,95
17,Ordinary,10.0,85,90
18,Ordinary,10.0,90,85
19,Ordinary,10.0,95,80
20,Ordinary,10.0,100,75
21,Ordinary,10.0,105,70
22,Ordinary,10.0,110,65
23,Ordinary,10.0,115,60
24,Ordinary,10.0,120,55
25,Ordinary,10.0,125,50
26,Ordinary,10.0,130,45
27,Ordinary,10.0,135,40
28,Ordinary,10.0,140,35
29,Refrigerator,8.0,145,30
30,Refrigerator,8.0,150,25
31,Refrigerator,8.0,155,20
32,Refrigerator,8.0,160,15
33,Freezer,6.0,165,10
34,Freezer,6.0,170,5
